TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;998411154.68;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;29951731.36;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;69941581.59;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;130868158.36;;;SEP;REU X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7582252.87;;;SCP;DOL X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;173638242.94;;;SCP;DOL X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;118434066.25;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;25547668.94;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;286394811.39;;;SEP;REU X PRE
FI;07.364.774/0001-40;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO VIENA;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;428575.25;;;SDL;DI1 X IAP
FI;07.664.177/0001-31;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATEGICO MULTIMERCADO LONGO PRAZO;2021-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;418951.14;;2021-09-28;SDP;DI1 X PRE
FI;07.664.177/0001-31;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATEGICO MULTIMERCADO LONGO PRAZO;2021-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;296193.23;;2021-09-28;SDP;DI1 X PRE
